用户A,用户B,转发,评论
looploop圈-7月10日成年,coser小梦,0,1
-希望-,余头梯且er,1,0
-希望-,自在的小霜,0,1
-希望-,维权深圳,0,1
-希望-,李思磐,0,1
-希望-,林和村,0,1
-希望-,晴晴姑姐,0,1
-希望-,i爱早茶,0,1
-希望-,广州义工娟姐,0,1
-希望-,老大笨象,0,1
-希望-,欧阳-新闻趣事,0,1
老大笨象,幸福兔太太,0,1
老大笨象,演林居士,0,1
jianghaijian,华人现场报道,1,0
华人现场报道,云海雪原,1,0
云海雪原,逍然軒//@云海雪原,1,0
逍然軒//@云海雪原,刘金洲c,1,0
蛹蜕的空间,余头梯且er,1,0
余头梯且er,自在的小霜,1,0
自在的小霜,维权深圳,1,0
维权深圳,李思磐,1,0
李思磐,林和村,1,0
林和村,晴晴姑姐,1,0
晴晴姑姐,i爱早茶,1,0
i爱早茶,广州义工娟姐,1,0
广州义工娟姐,老大笨象,1,0
老大笨象,欧阳-新闻趣事,1,0
觉心离心实证,老大笨象,1,0
老大笨象,蛹蜕的空间,1,0
蛹蜕的空间,余头梯且er,1,0
余头梯且er,自在的小霜,1,0
自在的小霜,维权深圳,1,0
维权深圳,李思磐,1,0
李思磐,林和村,1,0
林和村,晴晴姑姐,1,0
晴晴姑姐,i爱早茶,1,0
i爱早茶,广州义工娟姐,1,0
广州义工娟姐,老大笨象,1,0
老大笨象,欧阳-新闻趣事,1,0
心远地偏_hgb,蛹蜕的空间,1,0
蛹蜕的空间,余头梯且er,1,0
余头梯且er,自在的小霜,1,0
自在的小霜,维权深圳,1,0
维权深圳,李思磐,1,0
李思磐,林和村,1,0
林和村,晴晴姑姐,1,0
晴晴姑姐,i爱早茶,1,0
i爱早茶,广州义工娟姐,1,0
广州义工娟姐,老大笨象,1,0
老大笨象,欧阳-新闻趣事,1,0
shirley5584,老大笨象,1,0
老大笨象,蛹蜕的空间,1,0
蛹蜕的空间,余头梯且er,1,0
余头梯且er,自在的小霜,1,0
自在的小霜,维权深圳,1,0
维权深圳,李思磐,1,0
李思磐,林和村,1,0
林和村,晴晴姑姐,1,0
晴晴姑姐,i爱早茶,1,0
i爱早茶,广州义工娟姐,1,0
广州义工娟姐,老大笨象,1,0
老大笨象,欧阳-新闻趣事,1,0
无锡之杨文530,何叶H,1,0
无锡之杨文530,云海雪原,0,1
无锡之杨文530,善良的幸福一辈子,0,1
无锡之杨文530,杨文530,0,1
无锡之杨文530,LM1989,0,1
无锡之杨文530,智慧之晗,0,1
无锡之杨文530,云海雪原,0,1
无锡之杨文530,华人现场报道,0,1
无锡之杨文530,逍然軒,0,1
无锡之杨文530,云海雪原,0,1
无锡之杨文530,刘金洲c,0,1
丽娃湖的鱼,南通如皋拆迁户,1,0
南通如皋拆迁户,金铃妻子,1,0
金铃妻子,央企鞍钢总医院张国贤,1,0
央企鞍钢总医院张国贤,江边酿酒,1,0
江边酿酒,紫金梧桐,1,0
紫金梧桐,江边酿酒,1,0
江边酿酒,楞个里格楞95,1,0
楞个里格楞95,伸张正义群,1,0
伸张正义群,hz曾永乐,1,0
hz曾永乐,余头梯且er,1,0
余头梯且er,铁皮和大黄蜂,1,0
小陈MissChanChan,广东电视台630新闻,0,1
曹云金,李茂CaeSaR,0,1
曹云金,白眉工作室,0,1
小小斌哥,于建嵘:,0,1
好多广州人都唔知嘅野,驱哥哥,0,1
好多广州人都唔知嘅野,揾食珠三角,0,1
好多广州人都唔知嘅野,美食达人TATA,0,1
好多广州人都唔知嘅野,黑色污染,0,1
Halo_Tony,风之子同学,0,1
斌伯,古粤秀色,1,0
古粤秀色,阿里爸爸妈妈,1,0
斌伯,阿里爸爸妈妈:我查查…今晚谈谈我的看法,0,1
斌伯,古粤秀色:其实我很疑惑。。。哪位专家有没有实地考察过的。。。光空想。就虚构一个团一大广场出来（其实都可以猜出。这纯粹是有关部门展现自己所谓政绩的行为,0,1
广州新浪房产,王石,0,1
广州新浪房产,唐激杨,0,1
广州新浪房产,广州万科,0,1
-3_3-,新浪房产,1,0
-3_3-,王石,0,1
-3_3-,王石,0,1
范范_FF,王石,0,1
Rissamoney,范范_FF,1,0
Rissamoney,肥肥的笑笑,0,1
奶爸不吃饭,郝海东,1,0
郝海东,政协委员祝铭,1,0
政协委员祝铭,广州日报东莞新闻,1,0
广州日报东莞新闻,风月东莞,1,0
奶爸不吃饭,陕西都市快报,0,1
奶爸不吃饭,西藏昌都人韩红,0,1
奶爸不吃饭,广州日报东莞新闻,0,1
奶爸不吃饭,平安东莞,0,1
奶爸不吃饭,南都广州,0,1
奶爸不吃饭,南都周刊,0,1
系宇杰,FRIDA陆俞静,1,0
FRIDA陆俞静,眼角那抹蓝--冯雅园,1,0
系宇杰,_尕娟,0,1
系宇杰,端州尕伟,0,1
东湖路民工,开花的雨,1,0
东湖路民工,东湖路民工,0,1
东湖路民工,SpadeSeven,0,1
